trial,fast_score,full_net,full_trades,full_pf,full_dd,oos_net,oos_trades,oos_pf,oos_dd,rsi_period,rsi_overbought,rsi_oversold,rsi_target_buy,rsi_target_sell,bars_to_wait,use_trailing,trail_distance_pts,trail_activation_pts,lot_size
735,-inf,0.0,2733,0.0,0.0,0.0,980,0.0,0.0,14,78.2,53.3,73.3,31.4,6,False,55,90,0.1
736,-inf,0.0,3238,0.0,0.0,0.0,1199,0.0,0.0,21,73.1,45.7,84.4,32.0,12,True,90,90,0.1
737,-inf,0.0,1616,0.0,0.0,0.0,570,0.0,0.0,14,68.0,42.6,86.1,31.1,6,False,90,70,0.1
738,-inf,0.0,1845,0.0,0.0,0.0,622,0.0,0.0,10,16.5,75.9,86.2,11.5,6,False,120,90,0.1
739,-inf,0.0,3628,0.0,0.0,0.0,1252,0.0,0.0,12,17.9,60.2,87.9,12.9,4,False,40,55,0.1
740,-inf,0.0,2597,0.0,0.0,0.0,893,0.0,0.0,12,66.4,47.4,72.0,29.4,8,False,90,90,0.1
741,-inf,0.0,2062,0.0,0.0,0.0,690,0.0,0.0,14,78.9,43.7,81.8,26.1,4,False,71,20,0.1
742,-inf,0.0,2519,0.0,0.0,0.0,875,0.0,0.0,10,10.3,71.0,93.1,5.3,3,False,120,35,0.1
743,-inf,0.0,2170,0.0,0.0,0.0,779,0.0,0.0,14,68.1,53.2,80.3,46.3,12,False,150,90,0.1
744,-inf,0.0,6311,0.0,0.0,0.0,2264,0.0,0.0,14,73.2,43.1,91.0,60.1,2,True,71,35,0.1
745,-inf,0.0,2527,0.0,0.0,0.0,890,0.0,0.0,18,67.3,44.8,86.6,46.5,3,False,55,35,0.1
746,-inf,0.0,4017,0.0,0.0,0.0,1470,0.0,0.0,16,15.5,60.9,92.1,10.5,4,True,71,41,0.1
747,-inf,0.0,1244,0.0,0.0,0.0,436,0.0,0.0,18,17.9,70.8,89.8,12.9,2,False,90,55,0.1
748,-inf,0.0,1567,0.0,0.0,0.0,569,0.0,0.0,12,6.4,75.0,93.5,1.4,1,False,55,90,0.1
749,-inf,0.0,2941,0.0,0.0,0.0,1036,0.0,0.0,10,6.4,69.7,91.9,1.4,2,False,150,90,0.1
