trial,net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
508,105.85000000000582,31,1.2368379835768464,9,50,56,2.0,6,3,False,0,20,3.15,7.45,48,200,True,True,14,20.0,7,22,8.0,0.1,10000.0
509,-6149.799999999997,1326,0.6402807422273253,12,50,40,0.7,6,2,True,0,20,2.6,6.8,64,100,False,False,14,19.4,7,22,8.0,0.1,10000.0
510,-1998.0400000000227,372,0.6303006753631233,10,46,56,0.7,9,3,False,0,14,2.3,6.8,80,100,False,False,14,17.6,7,21,6.0,0.1,10000.0
511,-3601.949999999989,828,0.6445874315214474,12,42,40,0.7,9,2,True,0,14,2.51,6.35,48,100,True,False,14,20.2,7,21,8.0,0.1,10000.0
512,-2810.110000000007,660,0.6794581800553227,11,52,32,1.5,6,4,True,0,20,2.34,5.55,96,100,True,False,14,17.5,7,21,8.0,0.1,10000.0
513,-3092.4800000000087,802,0.7345640599558648,9,46,56,1.1,10,2,True,0,20,3.14,5.59,80,100,True,True,14,16.1,7,22,8.0,0.1,10000.0
514,-2294.3899999999985,528,0.6653022343915708,10,48,40,1.8,7,5,True,0,14,2.76,6.31,48,100,True,True,14,19.6,7,21,8.0,0.1,10000.0
515,-1795.760000000013,424,0.6880687730049627,10,52,40,1.6,7,2,True,0,20,2.66,5.26,80,200,True,True,14,21.7,8,21,8.0,0.1,10000.0
516,-1697.0799999999927,328,0.6907895336189037,11,38,40,1.7,7,4,True,1,14,2.95,6.58,96,200,False,True,14,23.0,7,21,8.0,0.1,10000.0
517,-3912.6899999999996,868,0.6184416597591301,12,50,64,2.1,9,4,True,0,14,2.19,5.15,48,200,False,True,14,21.8,8,22,6.0,0.1,10000.0
518,-1222.730000000005,216,0.5724137207521306,10,46,64,0.7,7,2,False,0,20,2.05,4.94,80,100,True,False,14,21.1,7,21,6.0,0.1,10000.0
519,-1552.7299999999923,220,0.5584532655400006,8,48,72,1.7,8,4,True,1,20,2.87,5.73,80,200,True,True,14,22.5,8,21,8.0,0.1,10000.0
520,-20.36000000000604,72,0.9769735353992309,9,46,32,1.6,10,2,False,1,20,3.13,5.27,64,200,True,False,14,18.2,8,21,8.0,0.1,10000.0
521,-7075.499999999988,1686,0.6455110592733765,9,50,48,0.8,9,2,True,0,20,2.22,7.09,64,200,False,False,14,21.2,7,22,6.0,0.1,10000.0
522,-4559.489999999998,1085,0.7083733085678761,9,50,72,1.7,6,3,True,0,14,2.55,6.44,96,100,False,True,14,17.1,7,21,8.0,0.1,10000.0
523,-1859.0599999999977,414,0.6234166894554,11,38,32,2.2,6,3,True,0,20,2.17,6.38,48,100,True,True,14,21.9,8,21,6.0,0.1,10000.0
524,-3568.650000000005,821,0.6754025802977602,9,52,64,2.3,7,4,True,0,14,2.29,6.13,80,100,True,False,14,16.8,8,21,8.0,0.1,10000.0
525,-4320.930000000008,1002,0.671640645482421,9,38,40,0.5,9,5,True,0,20,2.27,7.14,96,100,True,False,14,23.9,7,21,8.0,0.1,10000.0
526,-1320.4700000000048,305,0.6641290302888481,10,40,64,1.2,8,2,True,1,14,2.21,6.09,64,200,True,True,14,21.5,8,22,6.0,0.1,10000.0
527,-2903.2399999999825,670,0.6944977307572106,10,52,72,1.2,8,2,True,0,14,2.38,5.67,96,100,True,True,14,19.4,8,21,6.0,0.1,10000.0
528,-3722.9699999999993,1097,0.7516029511648669,10,42,40,2.0,8,4,True,0,20,2.83,5.74,80,100,False,False,14,19.1,8,22,6.0,0.1,10000.0
529,-450.70999999999367,73,0.6675150120243734,11,40,64,1.9,10,3,False,0,14,2.43,5.11,48,200,False,False,14,23.7,7,21,8.0,0.1,10000.0
530,-6035.179999999959,1577,0.6649741008000968,10,42,48,1.4,10,5,True,0,14,2.07,4.91,64,200,False,False,14,21.6,8,22,6.0,0.1,10000.0
531,-4269.180000000009,1049,0.6805266411138666,8,40,56,2.2,7,2,True,0,14,2.09,4.73,96,100,True,False,14,21.9,8,22,8.0,0.1,10000.0
532,-2826.8100000000013,842,0.7426565239635926,10,52,72,1.9,8,2,True,0,14,2.73,5.02,64,100,True,False,14,21.4,8,22,8.0,0.1,10000.0
533,-1993.3599999999988,491,0.7134021063225622,9,50,40,1.0,6,5,True,1,14,2.48,4.67,96,100,False,True,14,20.8,7,22,8.0,0.1,10000.0
534,-3991.060000000016,972,0.6648083448113683,10,50,56,0.8,8,5,True,0,14,2.13,5.59,80,100,True,False,14,17.3,7,21,6.0,0.1,10000.0
535,-3188.920000000003,648,0.6950491337992342,12,38,48,0.9,7,2,True,0,14,3.17,6.19,96,100,True,False,14,16.7,8,21,8.0,0.1,10000.0
536,-967.2800000000025,240,0.6909717674045628,10,50,64,0.9,9,4,True,1,14,2.4,7.19,48,100,True,True,14,22.4,8,21,8.0,0.1,10000.0
537,-2496.600000000005,521,0.6682964419525416,9,42,72,1.4,6,3,True,1,14,2.92,4.98,80,200,True,False,14,18.3,8,21,8.0,0.1,10000.0
538,-2766.2500000000073,815,0.7272155325176834,9,44,64,1.7,7,5,True,0,14,2.92,5.43,48,200,True,False,14,18.5,8,21,6.0,0.1,10000.0
539,-5672.329999999992,1405,0.6875238254730389,10,48,48,0.7,7,5,True,0,20,2.92,5.83,64,100,False,False,14,16.3,8,22,8.0,0.1,10000.0
540,-5300.689999999988,1428,0.6862059901990616,12,42,56,1.2,10,4,True,0,20,2.61,5.29,48,100,False,False,14,21.6,7,21,6.0,0.1,10000.0
