side,open_time,close_time,profit,exit_reason
BUY,2025-01-10 16:00:00,2025-01-13 00:00:00,-13.06,sl
BUY,2025-01-29 15:00:00,2025-01-29 15:15:00,8.79,trail
BUY,2025-01-29 16:00:00,2025-01-29 16:45:00,-13.83,sl
BUY,2025-02-07 15:00:00,2025-02-07 15:15:00,0.96,trail
BUY,2025-02-07 16:00:00,2025-02-07 16:15:00,-19.17,sl
BUY,2025-02-10 00:15:00,2025-02-10 05:00:00,11.55,trail
BUY,2025-02-11 15:00:00,2025-02-11 15:30:00,1.5,trail
BUY,2025-02-11 16:00:00,2025-02-11 17:15:00,0.13,trail
BUY,2025-02-12 15:00:00,2025-02-12 15:15:00,0.42,trail
BUY,2025-02-12 16:00:00,2025-02-12 19:00:00,-20.33,sl
SELL,2025-02-14 15:00:00,2025-02-14 15:30:00,14.94,trail
SELL,2025-02-14 16:00:00,2025-02-14 16:30:00,4.4,trail
SELL,2025-02-20 16:15:00,2025-02-20 16:30:00,6.09,trail
SELL,2025-02-20 17:15:00,2025-02-20 17:45:00,12.45,trail
SELL,2025-02-20 18:15:00,2025-02-20 19:00:00,7.97,trail
SELL,2025-02-20 19:15:00,2025-02-21 00:00:00,13.89,trail
SELL,2025-02-25 15:00:00,2025-02-25 15:30:00,2.18,trail
SELL,2025-02-25 16:00:00,2025-02-25 17:00:00,2.79,trail
SELL,2025-03-18 16:15:00,2025-03-18 17:15:00,6.61,trail
SELL,2025-03-18 17:15:00,2025-03-18 17:30:00,3.17,trail
SELL,2025-03-18 18:15:00,2025-03-18 18:30:00,7.12,trail
SELL,2025-03-18 19:15:00,2025-03-18 19:30:00,3.56,trail
SELL,2025-04-03 15:00:00,2025-04-03 16:00:00,2.55,trail
SELL,2025-04-03 16:00:00,2025-04-03 16:15:00,20.95,trail
SELL,2025-04-09 00:15:00,2025-04-09 03:15:00,14.52,trail
SELL,2025-04-09 15:00:00,2025-04-09 15:15:00,13.27,trail
SELL,2025-04-09 16:00:00,2025-04-09 16:30:00,-47.84,sl
SELL,2025-04-10 16:15:00,2025-04-10 17:45:00,50.96,trail
SELL,2025-04-10 17:45:00,2025-04-10 18:15:00,65.79,trail
SELL,2025-04-10 18:45:00,2025-04-11 02:15:00,29.6,trail
SELL,2025-04-28 16:15:00,2025-04-28 16:30:00,19.82,trail
SELL,2025-04-28 17:15:00,2025-04-28 17:30:00,37.77,trail
SELL,2025-04-28 18:15:00,2025-04-28 19:00:00,16.96,trail
SELL,2025-04-28 19:15:00,2025-04-28 19:45:00,23.39,trail
SELL,2025-04-28 20:15:00,2025-04-29 00:00:00,13.19,trail
SELL,2025-04-29 00:00:00,2025-04-29 01:15:00,-19.48,sl
SELL,2025-05-07 16:15:00,2025-05-07 17:00:00,2.1,trail
SELL,2025-05-07 17:15:00,2025-05-07 17:30:00,6.88,trail
SELL,2025-05-07 18:15:00,2025-05-07 21:00:00,5.59,trail
SELL,2025-05-20 20:15:00,2025-05-20 22:15:00,31.19,tp
SELL,2025-05-20 22:15:00,2025-05-21 01:00:00,36.45,trail
SELL,2025-05-21 01:00:00,2025-05-21 01:15:00,15.14,trail
SELL,2025-05-23 16:15:00,2025-05-23 17:45:00,12.51,trail
SELL,2025-05-23 17:45:00,2025-05-23 23:45:00,13.2,trail
SELL,2025-06-12 15:00:00,2025-06-12 15:30:00,15.67,trail
SELL,2025-06-12 16:00:00,2025-06-12 17:30:00,-27.22,sl
SELL,2025-06-13 00:15:00,2025-06-13 02:45:00,21.58,trail
SELL,2025-06-23 16:15:00,2025-06-23 16:30:00,4.63,trail
SELL,2025-06-23 17:15:00,2025-06-23 17:30:00,4.44,trail
SELL,2025-06-23 18:15:00,2025-06-23 20:15:00,1.02,trail
SELL,2025-06-24 15:00:00,2025-06-24 16:00:00,-0.38,trail
SELL,2025-06-24 16:00:00,2025-06-24 17:00:00,17.56,trail
SELL,2025-06-24 17:00:00,2025-06-24 17:15:00,36.03,trail
SELL,2025-06-24 18:00:00,2025-06-24 22:00:00,8.86,trail
SELL,2025-06-27 15:00:00,2025-06-27 15:30:00,16.59,trail
SELL,2025-06-27 16:00:00,2025-06-27 16:15:00,-24.29,sl
SELL,2025-06-30 16:15:00,2025-06-30 17:00:00,4.25,trail
SELL,2025-06-30 17:15:00,2025-06-30 17:30:00,11.81,trail
SELL,2025-06-30 18:15:00,2025-07-01 00:00:00,22.25,trail
SELL,2025-07-01 00:00:00,2025-07-01 03:00:00,6.3,trail
